index,name,activity,celebrity_indice,ic,phone_number,web_site,adresse,town,transition
19,24 Le restaurant,Française,"4,7 (520)",2444,+33 1 42 25 24 24,24lerestaurant.fr,,Paris,https://www.google.com/maps/place/24+Le+restaurant/data=!4m7!3m6!1s0x47e66fc5f60aed2d:0x9521df2ae0abdab7!8m2!3d48.8710484!4d2.3118763!16s%2Fg%2F11b8t6_6sg!19sChIJLe0K9sVv5kcRt9qr4CrfIZU?authuser=0&hl=fr&rclk=1
20,Maison Ô,Restaurant,"4,3 (138)",593,+33 1 42 60 71 53,hotel-royal-st-honore.com,,Paris,https://www.google.com/maps/place/Maison+%C3%94/data=!4m7!3m6!1s0x47e66e2e3e160983:0x1545c2224b04e98b!8m2!3d48.8655756!4d2.3298487!16s%2Fg%2F11f40ylg9w!19sChIJgwkWPi5u5kcRi-kESyLCRRU?authuser=0&hl=fr&rclk=1
21,Chouchou,Restaurant,"4,5 (5 946)",26757,+33 1 45 08 02 03,restaurantchouchouparis.fr,,Paris,https://www.google.com/maps/place/Chouchou/data=!4m7!3m6!1s0x47e66f92a9e30c1f:0xa168c03346f62a0a!8m2!3d48.8599744!4d2.3487234!16s%2Fg%2F11fnwdtrzh!19sChIJHwzjqZJv5kcRCir2RjPAaKE?authuser=0&hl=fr&rclk=1
22,Au Pied de Cochon,Française,"4,3 (14 676)",63107,+33 1 40 13 77 00,pieddecochon.com,,Paris,https://www.google.com/maps/place/Au+Pied+de+Cochon/data=!4m7!3m6!1s0x47e66e22674a0b41:0x3add2de5bc477885!8m2!3d48.8635176!4d2.3437221!16s%2Fg%2F1tdgjkvs!19sChIJQQtKZyJu5kcRhXhHvOUt3To?authuser=0&hl=fr&rclk=1
23,La Dame de Paris,Restaurant,"4,2 (1 178)",4948,+33 1 43 54 19 45,ladamedeparis.fr,,Paris,https://www.google.com/maps/place/La+Dame+de+Paris/data=!4m7!3m6!1s0x47e671e18876313b:0x2096885f2f2c421!8m2!3d48.854208!4d2.3498901!16s%2Fg%2F11cn36bdvl!19sChIJOzF2iOFx5kcRIcTy8oVoCQI?authuser=0&hl=fr&rclk=1
24,Le Reminet,Française,"4,3 (1 138)",4893,+33 1 44 07 04 24,lereminet.fr,,Paris,https://www.google.com/maps/place/Le+Reminet/data=!4m7!3m6!1s0x47e671e3f926b0f7:0x145e8fd35f1371ac!8m2!3d48.851247!4d2.3499615!16s%2Fg%2F1thlmd3l!19sChIJ97Am-eNx5kcRrHETX9OPXhQ?authuser=0&hl=fr&rclk=1
25,Le Paris Paris,Restaurant,"4,3 (691)",2971,+33 1 43 26 50 56,leparisparis.fr,,Paris,https://www.google.com/maps/place/Le+Paris+Paris/data=!4m7!3m6!1s0x47e671bd225fbaef:0xa832ad034694bbcc!8m2!3d48.852579!4d2.3357251!16s%2Fg%2F11rckz8ppp!19sChIJ77pfIr1x5kcRzLuURgOtMqg?authuser=0&hl=fr&rclk=1
26,Chez Nicos,Crêperie,"4,8 (2 163)",10382,+33 1 45 87 28 13,cheznicos.fr,,Paris,https://www.google.com/maps/place/Chez+Nicos/data=!4m7!3m6!1s0x47e671eed61df861:0xb942703ee322e75!8m2!3d48.8435665!4d2.349374!16s%2Fg%2F1tfpj3qz!19sChIJYfgd1u5x5kcRdS4y7gMnlAs?authuser=0&hl=fr&rclk=1
27,Didon,Gastronomie française,"4,7 (785)",3690,+33 1 81 69 63 72,didonrestaurant.com,,Paris,https://www.google.com/maps/place/Didon/data=!4m7!3m6!1s0x47e6713d35d64999:0x541f94f256f642f0!8m2!3d48.8537625!4d2.3311074!16s%2Fg%2F11qh224pr2!19sChIJmUnWNT1x5kcR8EL2VvKUH1Q?authuser=0&hl=fr&rclk=1
28,Au top paris,Française,"4,3 (16)",69,https://www.google.com/maps/place/Au+top+paris/data=!4m7!3m6!1s0x47e66f10c28af1bf:0xd06e3cf186f2c328!8m2!3d48.8601875!4d2.3607163!16s%2Fg%2F11q4vbn0zp!19sChIJv_GKwhBv5kcRKMPyhvE8btA?authuser=0&hl=fr&rclk=1,actedeux.paris,93 Rue Vieille du Temple,Paris,https://www.google.com/maps/place/Au+top+paris/data=!4m7!3m6!1s0x47e66f10c28af1bf:0xd06e3cf186f2c328!8m2!3d48.8601875!4d2.3607163!16s%2Fg%2F11q4vbn0zp!19sChIJv_GKwhBv5kcRKMPyhvE8btA?authuser=0&hl=fr&rclk=1
29,Il était un square,Hamburger,"4,8 (2 383)",11438,+33 1 43 37 68 07,iletaitunsquare.com,,Paris,https://www.google.com/maps/place/Il+%C3%A9tait+un+square/data=!4m7!3m6!1s0x47e67194008044c1:0xce62821fe36fd186!8m2!3d48.8309972!4d2.3480279!16s%2Fg%2F11b6t4z115!19sChIJwUSAAJRx5kcRhtFv4x-CYs4?authuser=0&hl=fr&rclk=1
30,Le Tout-Paris,Française,"4,5 (987)",4442,+33 1 79 35 50 22,letoutparis.fr,,Paris,https://www.google.com/maps/place/Le+Tout-Paris/data=!4m7!3m6!1s0x47e66f690b5482c5:0x6568bfb659691796!8m2!3d48.8587493!4d2.3422529!16s%2Fg%2F11rwwhyh1l!19sChIJxYJUC2lv5kcRlhdpWba_aGU?authuser=0&hl=fr&rclk=1
31,Benoit Paris,Française,"4,2 (1 955)",8211,+33 1 42 72 25 76,benoit-paris.com,,Paris,https://www.google.com/maps/place/Benoit+Paris/data=!4m7!3m6!1s0x47e66e1e7dcd4643:0xc8ee845fe3229df5!8m2!3d48.8584202!4d2.3500687!16s%2Fg%2F1tdd4l02!19sChIJQ0bNfR5u5kcR9Z0i41-E7sg?authuser=0&hl=fr&rclk=1
32,Au P'tit Curieux,Restaurant,"4,8 (855)",4104,+33 1 84 25 53 32,auptitcurieux.com,,Paris,https://www.google.com/maps/place/Au+P%27tit+Curieux/data=!4m7!3m6!1s0x47e66de0be38c6a5:0xfdc8349614bb5990!8m2!3d48.8747118!4d2.3726795!16s%2Fg%2F11gb419cp6!19sChIJpcY4vuBt5kcRkFm7FJY0yP0?authuser=0&hl=fr&rclk=1
33,Restaurant Le Hangar,Française,"4,6 (456)",2098,+33 1 42 74 55 44,N/A,,Paris,https://www.google.com/maps/place/Restaurant+Le+Hangar/data=!4m7!3m6!1s0x47e66e1b6445226b:0x20d5c58681d09386!8m2!3d48.861342!4d2.354411!16s%2Fg%2F1tfqq80z!19sChIJayJFZBtu5kcRhpPQgYbF1SA?authuser=0&hl=fr&rclk=1
34,Les affranchis,Restaurant,"4,5 (467)",2102,+33 1 43 42 25 38,N/A,,Paris,https://www.google.com/maps/place/Les+affranchis/data=!4m7!3m6!1s0x47e673a1c0b3134d:0x98fc5ab4222de86b!8m2!3d48.8483803!4d2.3725889!16s%2Fg%2F11h3r10f1v!19sChIJTROzwKFz5kcRa-gtIrRa_Jg?authuser=0&hl=fr&rclk=1
35,GrandCœur,Française,"4,4 (1 491)",6560,+33 1 58 28 18 90,grandcoeur.paris,,Paris,https://www.google.com/maps/place/GrandC%C5%93ur/data=!4m7!3m6!1s0x47e66e1cf4904391:0x20d2a585b6417a58!8m2!3d48.8596007!4d2.3538752!16s%2Fg%2F11b7stl6qh!19sChIJkUOQ9Bxu5kcRWHpBtoWl0iA?authuser=0&hl=fr&rclk=1
36,Grande Brasserie,Restaurant,"4,4 (807)",3551,+33 9 75 80 99 72,grandebrasserie.fr,6 Rue de la Bastille,Paris,https://www.google.com/maps/place/Grande+Brasserie/data=!4m7!3m6!1s0x47e6739c182668fb:0xd6e7d061d89337e1!8m2!3d48.8537687!4d2.3679902!16s%2Fg%2F11nnzj5lrr!19sChIJ-2gmGJxz5kcR4TeT2GHQ59Y?authuser=0&hl=fr&rclk=1
37,Le Chanard,Française,"4,7 (518)",2435,+33 1 48 04 75 89,fr-fr.facebook.com,,Paris,https://www.google.com/maps/place/Le+Chanard/data=!4m7!3m6!1s0x47e671fe8224ab3f:0xa85d77d0fefa6c3a!8m2!3d48.8530556!4d2.3613889!16s%2Fg%2F1w0sc5fc!19sChIJP6skgv5x5kcROmz6_tB3Xag?authuser=0&hl=fr&rclk=1
38,HEBE restaurant - Paris,Restaurant,"4,7 (1 134)",5330,+33 1 46 34 08 91,heberestaurant.com,,Paris,https://www.google.com/maps/place/HEBE+restaurant+-+Paris/data=!4m7!3m6!1s0x47e6714bb7a7db41:0x493087dffd0bb822!8m2!3d48.8507919!4d2.3490457!16s%2Fg%2F11f9zz9lw2!19sChIJQdunt0tx5kcRIrgL_d-HMEk?authuser=0&hl=fr&rclk=1
39,Chez l'Ami Louis,Française,"3,8 (471)",1790,+33 1 48 87 77 48,N/A,32 Rue du Vertbois,Paris,https://www.google.com/maps/place/Chez+l%27Ami+Louis/data=!4m7!3m6!1s0x47e66e0f94eb6f21:0xaf33bb75b26d4fd4!8m2!3d48.8670892!4d2.3581584!16s%2Fm%2F0gg7_8c!19sChIJIW_rlA9u5kcR1E9tsnW7M68?authuser=0&hl=fr&rclk=1
40,Le Moghol,Restaurant,"4,1 (568)",2329,+33 1 40 06 90 36,lemoghol.fr,,Paris,https://www.google.com/maps/place/Le+Moghol/data=!4m7!3m6!1s0x47e66e34040ff0ed:0xb14ce91e37589c0a!8m2!3d48.8720116!4d2.3283251!16s%2Fg%2F1tplpmkm!19sChIJ7fAPBDRu5kcRCpxYNx7pTLE?authuser=0&hl=fr&rclk=1
41,Les Mauvais Garçons,Restaurant,"4,3 (489)",2103,+33 1 42 72 74 97,eater.space,,Paris,https://www.google.com/maps/place/Les+Mauvais+Gar%C3%A7ons/data=!4m7!3m6!1s0x47e66e1d4f697a7d:0x6ed4bc73ad2bb7cd!8m2!3d48.8568105!4d2.355202!16s%2Fg%2F1vcjlkbw!19sChIJfXppTx1u5kcRzbcrrXO81G4?authuser=0&hl=fr&rclk=1
42,Bustronome,Française,"4,6 (873)",4016,+33 9 54 44 45 55,bustronome.com,,Paris,https://www.google.com/maps/place/Bustronome/data=!4m7!3m6!1s0x47e66fec191eb609:0x2b80095c2d0654ca!8m2!3d48.8727668!4d2.2938837!16s%2Fg%2F11byl1h1h1!19sChIJCbYeGexv5kcRylQGLVwJgCs?authuser=0&hl=fr&rclk=1
43,Restaurant Jardin Notre-Dame,Française,"4,1 (971)",3981,+33 1 43 54 03 75,N/A,,Paris,https://www.google.com/maps/place/Restaurant+Jardin+Notre-Dame/data=!4m7!3m6!1s0x47e671e0e43aa6c5:0xfc26b8bc0991bcb6!8m2!3d48.8527553!4d2.3464661!16s%2Fg%2F1vgx01hd!19sChIJxaY65OBx5kcRtryRCby4Jvw?authuser=0&hl=fr&rclk=1
44,Lapérouse,Restaurant,"4,2 (1 157)",4859,+33 1 43 26 68 04,laperouse.com,,Paris,https://www.google.com/maps/place/Lap%C3%A9rouse/data=!4m7!3m6!1s0x47e671df758e9bd7:0xa0f8765a558551c3!8m2!3d48.8551202!4d2.3415552!16s%2Fm%2F0h7mbpw!19sChIJ15uOdd9x5kcRw1GFVVp2-KA?authuser=0&hl=fr&rclk=1
45,SHIRO | Restaurant Franco Japonais Fusion,Française,"4,6 (2 918)",13423,+33 1 56 81 91 62,restaurantshiro.fr,,Paris,https://www.google.com/maps/place/SHIRO+%7C+Restaurant+Franco+Japonais+Fusion/data=!4m7!3m6!1s0x47e6717ebc1dd879:0xacef3db7ab36ea9a!8m2!3d48.8534752!4d2.3353283!16s%2Fg%2F11q7bd29kn!19sChIJedgdvH5x5kcRmuo2q7c976w?authuser=0&hl=fr&rclk=1
46,Au Vieux Paris d'Arcole,Française,"3,9 (1 275)",4972,+33 1 40 51 78 52,restaurantauvieuxparis.fr,,Paris,https://www.google.com/maps/place/Au+Vieux+Paris+d%27Arcole/data=!4m7!3m6!1s0x47e671e228ad69cf:0xe65c155e7a7cd955!8m2!3d48.8542532!4d2.3502938!16s%2Fg%2F1tmpjv72!19sChIJz2mtKOJx5kcRVdl8el4VXOY?authuser=0&hl=fr&rclk=1
47,Faubourg 34 - Restaurant paris 9,Française,"4,2 (1 235)",5187,+33 1 40 22 04 14,N/A,,Paris,https://www.google.com/maps/place/Faubourg+34+-+Restaurant+paris+9/data=!4m7!3m6!1s0x47e66e3f1cdbbe1b:0xbc52b667b7fc38b!8m2!3d48.8741257!4d2.3424981!16s%2Fg%2F1xn_mp_q!19sChIJG77bHD9u5kcRi8N_e2YrxQs?authuser=0&hl=fr&rclk=1
48,Boutary,Française,"4,7 (745)",3502,+33 1 43 43 69 10,boutary-restaurant.com,,Paris,https://www.google.com/maps/place/Boutary/data=!4m7!3m6!1s0x47e671d8c884c8dd:0x693328ac34355a3d!8m2!3d48.8549894!4d2.3380174!16s%2Fg%2F11cjg887gb!19sChIJ3ciEyNhx5kcRPVo1NKwoM2k?authuser=0&hl=fr&rclk=1
49,Chez Julien,Française,"4,0 (2 140)",8560,+33 1 42 78 31 64,chezjulien.paris,,Paris,https://www.google.com/maps/place/Chez+Julien/data=!4m7!3m6!1s0x47e671e2b6030813:0x514d9579ed8662c!8m2!3d48.8547356!4d2.3551411!16s%2Fg%2F1tjs47k4!19sChIJEwgDtuJx5kcRLGbYnlfZFAU?authuser=0&hl=fr&rclk=1
50,Les Foodies,Restaurant,"4,4 (595)",2618,+33 9 82 42 73 09,lesfoodies.paris,,Paris,https://www.google.com/maps/place/Les+Foodies/data=!4m7!3m6!1s0x47e66e1d219dd035:0x21fdf9c6697b8739!8m2!3d48.8582749!4d2.3546521!16s%2Fg%2F11c6pllybn!19sChIJNdCdIR1u5kcROYd7acb5_SE?authuser=0&hl=fr&rclk=1
51,Georges,Cuisine française moderne,"3,9 (6 310)",24609,+33 1 44 78 47 99,restaurantgeorgesparis.com,,Paris,https://www.google.com/maps/place/Georges/data=!4m7!3m6!1s0x47e66e1c09b820a3:0xc836bf2b51d61d49!8m2!3d48.8599858!4d2.3519691!16s%2Fg%2F11xp58f8s!19sChIJoyC4CRxu5kcRSR3WUSu_Nsg?authuser=0&hl=fr&rclk=1
52,Le Ju',Restaurant,"4,8 (12 404)",59539,+33 1 42 78 11 47,instagram.com,16 Rue des Archives,Paris,https://www.google.com/maps/place/Le+Ju%27/data=!4m7!3m6!1s0x47e66e1d3b8e6beb:0x82acdee8062c0b85!8m2!3d48.8576911!4d2.3548054!16s%2Fg%2F11gb3n1572!19sChIJ62uOOx1u5kcRhQssBujerII?authuser=0&hl=fr&rclk=1
53,Quelque Part... Les Abysses - Restaurant gastronomique Paris,Restaurant,"4,9 (440)",2156,+33 1 83 97 22 65,lesabysses.quelquepart.net,1 Rue Ambroise Thomas,Paris,https://www.google.com/maps/place/Quelque+Part...+Les+Abysses+-+Restaurant+gastronomique+Paris/data=!4m7!3m6!1s0x47e66fc99fa0daa5:0xf982892def572a9b!8m2!3d48.8742334!4d2.3471587!16s%2Fg%2F11q3llbcjk!19sChIJpdqgn8lv5kcRmypX7y2Jgvk?authuser=0&hl=fr&rclk=1
54,Le Saint-Regis - Paris,Française,"4,4 (2 227)",9799,+33 1 43 54 59 41,lesaintregis-paris.com,,Paris,https://www.google.com/maps/place/Le+Saint-Regis+-+Paris/data=!4m7!3m6!1s0x47e671e3198eaced:0x3d8bd7a4f4d17178!8m2!3d48.8529059!4d2.3537978!16s%2Fg%2F1tfqq86k!19sChIJ7ayOGeNx5kcReHHR9KTXiz0?authuser=0&hl=fr&rclk=1
55,Paris Beaubourg,Française,"3,9 (595)",2320,+33 1 42 74 01 23,parisbeaubourg.fr,,Paris,https://www.google.com/maps/place/Paris+Beaubourg/data=!4m7!3m6!1s0x47e66f482a81c0e5:0x277d7fe2bbe9ce8b!8m2!3d48.8596302!4d2.3520952!16s%2Fg%2F11p06c_v9q!19sChIJ5cCBKkhv5kcRi87pu-J_fSc?authuser=0&hl=fr&rclk=1
56,Shang Palace,Plats asiatiques,"4,5 (416)",1872,+33 1 53 67 19 92,shangpalaceparis.com,,Paris,https://www.google.com/maps/place/Shang+Palace/data=!4m7!3m6!1s0x47e66fe4393c740b:0x20a8356a5354308b!8m2!3d48.863726!4d2.2934!16s%2Fg%2F11ckvlkdg4!19sChIJC3Q8OeRv5kcRizBUU2o1qCA?authuser=0&hl=fr&rclk=1
57,L'INAPERÇU,Française,"4,6 (211)",971,+33 1 42 72 69 81,linapercu.com,,Paris,https://www.google.com/maps/place/L%27INAPER%C3%87U/data=!4m7!3m6!1s0x47e66fedc1dc63a1:0xff465bdb59d03841!8m2!3d48.8632313!4d2.3544069!16s%2Fg%2F11jzpjt9h8!19sChIJoWPcwe1v5kcRQTjQWdtbRv8?authuser=0&hl=fr&rclk=1
58,Nostre,Restaurant,"4,4 (763)",3357,+33 1 40 61 01 05,nostremarais.fr,,Paris,https://www.google.com/maps/place/Nostre/data=!4m7!3m6!1s0x47e671fe160220b1:0xf0e9da011158cd3b!8m2!3d48.8548605!4d2.3625681!16s%2Fg%2F11clzqlryf!19sChIJsSACFv5x5kcRO81YEQHa6fA?authuser=0&hl=fr&rclk=1
59,le Paris Halles,Restaurant,"4,2 (1 004)",4217,+33 1 40 26 49 19,leparishalles.fr,,Paris,https://www.google.com/maps/place/le+Paris+Halles/data=!4m7!3m6!1s0x47e66e194c6d23c1:0x9cbbca6082d9b4ed!8m2!3d48.8613849!4d2.3494387!16s%2Fg%2F1tg34j9q!19sChIJwSNtTBlu5kcR7bTZgmDKu5w?authuser=0&hl=fr&rclk=1
60,Restaurant Paul,Française,"4,2 (395)",1659,+33 1 43 54 21 48,restaurantpaul.fr,,Paris,https://www.google.com/maps/place/Restaurant+Paul/data=!4m7!3m6!1s0x47e66e207815b97d:0x1f14c4948967dbd9!8m2!3d48.8563303!4d2.3422628!16s%2Fg%2F1tgxhcc5!19sChIJfbkVeCBu5kcR2dtniZTEFB8?authuser=0&hl=fr&rclk=1
61,Restaurant Loulou Paris,Australienne,"4,5 (6 886)",30987,+33 1 46 34 86 64,louloufriendlydiner.com,,Paris,https://www.google.com/maps/place/Restaurant+Loulou+Paris/data=!4m7!3m6!1s0x47e671e752a4a2c5:0x31d8bafe75893cec!8m2!3d48.8512011!4d2.3448571!16s%2Fg%2F1tph11b6!19sChIJxaKkUudx5kcR7DyJdf662DE?authuser=0&hl=fr&rclk=1
62,La Table Cachée par Michel Roth - BHV Marais,Française,"4,3 (260)",1118,https://www.google.com/maps/place/La+Table+Cach%C3%A9e+par+Michel+Roth+-+BHV+Marais/data=!4m7!3m6!1s0x47e66f29f637aba3:0xba0d5caf11030a48!8m2!3d48.8575065!4d2.3531721!16s%2Fg%2F11lr7hg0xy!19sChIJo6s39ilv5kcRSAoDEa9cDbo?authuser=0&hl=fr&rclk=1,bhv.fr,,Paris,https://www.google.com/maps/place/La+Table+Cach%C3%A9e+par+Michel+Roth+-+BHV+Marais/data=!4m7!3m6!1s0x47e66f29f637aba3:0xba0d5caf11030a48!8m2!3d48.8575065!4d2.3531721!16s%2Fg%2F11lr7hg0xy!19sChIJo6s39ilv5kcRSAoDEa9cDbo?authuser=0&hl=fr&rclk=1
63,Café Joséphine Restaurant Brasserie Paris 1,Restaurant,"4,3 (852)",3664,+33 1 89 19 59 89,cafe-josephineparis.fr,,Paris,https://www.google.com/maps/place/Caf%C3%A9+Jos%C3%A9phine+Restaurant+Brasserie+Paris+1/data=!4m7!3m6!1s0x47e66f588db2dd75:0x1298f836f41b40e3!8m2!3d48.8628067!4d2.3413233!16s%2Fg%2F11rsp_627_!19sChIJdd2yjVhv5kcR40Ab9Db4mBI?authuser=0&hl=fr&rclk=1
