index,name,activity,celebrity_indice,ic,phone_number,web_site,adresse,town,transition
11,Les Encavés,Restaurant,"4,7 (488)",2294,+33 4 72 07 27 79,les-encaves.com,,Lyon,https://www.google.com/maps/place/Les+Encav%C3%A9s/data=!4m7!3m6!1s0x47f4eb3f0b128517:0x42d401e5fdd20f2e!8m2!3d45.7651113!4d4.8272274!16s%2Fg%2F11swcc0h9m!19sChIJF4USCz_r9EcRLg_S_eUB1EI?authuser=0&hl=fr&rclk=1
12,La Table d’Ambre,Restaurant,"4,8 (594)",2851,+33 4 72 56 12 76,latabledambre.fr,,Lyon,https://www.google.com/maps/place/La+Table+d%E2%80%99Ambre/data=!4m7!3m6!1s0x47f4eb0ad30fcf2f:0xf6f390590ef9620a!8m2!3d45.751928!4d4.830551!16s%2Fg%2F11f64cnv32!19sChIJL88P0wrr9EcRCmL5DlmQ8_Y?authuser=0&hl=fr&rclk=1
13,RESTAURANT LE VIEUX LYON,Française,"4,5 (2 835)",12758,+33 4 78 42 48 89,restaurant-le-vieux-lyon.com,44 Rue Saint-Jean,Lyon,https://www.google.com/maps/place/RESTAURANT+LE+VIEUX+LYON/data=!4m7!3m6!1s0x47f4ebaae60af80d:0x41316050870114b4!8m2!3d45.7623386!4d4.8274787!16s%2Fg%2F11csqb5bmv!19sChIJDfgK5qrr9EcRtBQBh1BgMUE?authuser=0&hl=fr&rclk=1
14,L'Alexandrin,Française,"4,7 (757)",3558,+33 4 72 61 15 69,lalexandrin.fr,,Lyon,https://www.google.com/maps/place/L%27Alexandrin/data=!4m7!3m6!1s0x47f4ea5e34d148cf:0x447ea0c2472bbcc7!8m2!3d45.760946!4d4.849212!16s%2Fg%2F11bzz3jl0h!19sChIJz0jRNF7q9EcRx7wrR8KgfkQ?authuser=0&hl=fr&rclk=1
15,Monsieur P,Française,"4,8 (860)",4128,+33 4 81 18 70 24,monsieurp.fr,8 Pl. des Célestins,Lyon,https://www.google.com/maps/place/Monsieur+P/data=!4m7!3m6!1s0x47f4eafb741aaaab:0x7923014bb4048153!8m2!3d45.7595294!4d4.8316954!16s%2Fg%2F11f2y3m7dv!19sChIJq6oadPvq9EcRU4EEtEsBI3k?authuser=0&hl=fr&rclk=1
16,Les Fils À Maman Lyon,Française,"4,4 (3 039)",13372,+33 4 78 39 57 57,lesfilsamaman.com,,Lyon,https://www.google.com/maps/place/Les+Fils+%C3%80+Maman+Lyon/data=!4m7!3m6!1s0x47f4eaf9107dd203:0x6ac312a16de93c5b!8m2!3d45.7668011!4d4.837248!16s%2Fg%2F1hc1ykz9w!19sChIJA9J9EPnq9EcRWzzpbaESw2o?authuser=0&hl=fr&rclk=1
17,Restaurant Léon de Lyon,Restaurant,"4,2 (1 164)",4889,+33 4 72 10 11 12,leon-de-lyon.com,,Lyon,https://www.google.com/maps/place/Restaurant+L%C3%A9on+de+Lyon/data=!4m7!3m6!1s0x47f4eaff1b8ff2bd:0xcb51059288bc6018!8m2!3d45.7660077!4d4.8335018!16s%2Fg%2F1tgs08l7!19sChIJvfKPG__q9EcRGGC8iJIFUcs?authuser=0&hl=fr&rclk=1
18,Le Bœuf d'Argent,Française,"4,7 (714)",3356,+33 4 78 38 11 20,restaurant-le-boeuf-d-argent.com,,Lyon,https://www.google.com/maps/place/Le+B%C5%93uf+d%27Argent/data=!4m7!3m6!1s0x47f4ebaa567d4519:0x5a0b1a0e4f5f705b!8m2!3d45.7621494!4d4.8264152!16s%2Fg%2F1th7m7fs!19sChIJGUV9Vqrr9EcRW3BfTw4aC1o?authuser=0&hl=fr&rclk=1
19,L'Alsacien Lyon - Bar à Flammekueche -,Restaurant de spécialités alsaciennes,"4,7 (1 190)",5593,+33 4 26 65 86 01,lalsacien.com,,Lyon,https://www.google.com/maps/place/L%27Alsacien+Lyon+-+Bar+%C3%A0+Flammekueche+-/data=!4m7!3m6!1s0x47f4ebad9206d1a1:0x3540360552f3f01e!8m2!3d45.7652476!4d4.8322511!16s%2Fg%2F11rx9q3nwz!19sChIJodEGkq3r9EcRHvDzUgU2QDU?authuser=0&hl=fr&rclk=1
20,Le Comptoir Des Cousins,Restaurant,"4,7 (758)",3563,+33 4 78 24 35 74,lecomptoirdescousinslyon.fr,,Lyon,https://www.google.com/maps/place/Le+Comptoir+Des+Cousins/data=!4m7!3m6!1s0x47f4ea8c44dd629b:0x316068fea9ae705d!8m2!3d45.7693898!4d4.8553754!16s%2Fg%2F11dyn967h9!19sChIJm2LdRIzq9EcRXXCuqf5oYDE?authuser=0&hl=fr&rclk=1
21,M Restaurant,Française,"4,6 (1 319)",6067,+33 4 78 89 55 19,mrestaurant.fr,,Lyon,https://www.google.com/maps/place/M+Restaurant/data=!4m7!3m6!1s0x47f4eaf057df4ed7:0x54f7adf0875cb258!8m2!3d45.7705598!4d4.8436828!16s%2Fg%2F1tdwpfnd!19sChIJ107fV_Dq9EcRWLJch_Ct91Q?authuser=0&hl=fr&rclk=1
22,Brasserie des Brotteaux,Restaurant,"4,4 (3 027)",13319,+33 4 72 74 03 98,brasseriedesbrotteaux.com,,Lyon,https://www.google.com/maps/place/Brasserie+des+Brotteaux/data=!4m7!3m6!1s0x47f4ea892a91442d:0x1db5ad8c165adf08!8m2!3d45.7679697!4d4.8588146!16s%2Fg%2F120zjq7y!19sChIJLUSRKonq9EcRCN9aFoyttR0?authuser=0&hl=fr&rclk=1
23,Table et Partage,Restaurant,"4,8 (496)",2381,+33 4 87 24 79 74,table-et-partage.com,,Lyon,https://www.google.com/maps/place/Table+et+Partage/data=!4m7!3m6!1s0x47f4ebbeeeedf6e9:0xc9352ae8477e420b!8m2!3d45.7599277!4d4.8660727!16s%2Fg%2F1trsxbhg!19sChIJ6fbt7r7r9EcRC0J-R-gqNck?authuser=0&hl=fr&rclk=1
24,Le Mercière,Française,"4,5 (3 098)",13941,+33 4 78 37 67 35,lemerciere.eatbu.com,"Restaurant Le Mercière, 56 Rue Mercière",Lyon,https://www.google.com/maps/place/Le+Merci%C3%A8re/data=!4m7!3m6!1s0x47f4ea55bba06515:0x4a527b0885b2ec2!8m2!3d45.7625983!4d4.8326908!16s%2Fg%2F1tfmmrd7!19sChIJFWWgu1Xq9EcRwi5biLAnpQQ?authuser=0&hl=fr&rclk=1
25,A NOTRE TABLE,Française,"4,9 (177)",867,+33 9 88 00 96 44,a-notre-table.eatbu.com,,Lyon,https://www.google.com/maps/place/A+NOTRE+TABLE/data=!4m7!3m6!1s0x47f4ebfc51462dd7:0x871ffa0a9e6cae7e!8m2!3d45.7646106!4d4.8677205!16s%2Fg%2F11g_x6hn6h!19sChIJ1y1GUfzr9EcRfq5sngr6H4c?authuser=0&hl=fr&rclk=1
26,Restaurant Gastronomique Christian Tetedoie,Gastronomie française,"4,3 (3 519)",15132,+33 4 78 29 40 10,tetedoie.fr,,Lyon,https://www.google.com/maps/place/Restaurant+Gastronomique+Christian+Tetedoie/data=!4m7!3m6!1s0x47f4ebabf15c0339:0x2e9da72eed567a21!8m2!3d45.7590908!4d4.8233523!16s%2Fg%2F11c2pp_yx_!19sChIJOQNc8avr9EcRIXpW7S6nnS4?authuser=0&hl=fr&rclk=1
27,Restaurant Vatel Lyon,Française,"4,5 (601)",2704,+33 4 78 38 21 92,restaurantvatel.fr,,Lyon,https://www.google.com/maps/place/Restaurant+Vatel+Lyon/data=!4m7!3m6!1s0x47f4ea4c851d34c5:0xf2611e0f5d9c8af0!8m2!3d45.7501984!4d4.8293371!16s%2Fg%2F11_spy3kv!19sChIJxTQdhUzq9EcR8IqcXQ8eYfI?authuser=0&hl=fr&rclk=1
28,Chez Grand-Mère,Française,"4,4 (3 004)",13218,+33 9 51 61 35 38,chezgrandmere.fr,,Lyon,https://www.google.com/maps/place/Chez+Grand-M%C3%A8re/data=!4m7!3m6!1s0x47f4ebaaf3dcd085:0x22f5121b9a50f4bb!8m2!3d45.7629204!4d4.8272185!16s%2Fg%2F1tctdz13!19sChIJhdDc86rr9EcRu_RQmhsS9SI?authuser=0&hl=fr&rclk=1
29,Au P'tit Zinc,Française,"4,5 (498)",2241,+33 4 72 07 90 81,N/A,,Lyon,https://www.google.com/maps/place/Au+P%27tit+Zinc/data=!4m7!3m6!1s0x47f4eb07ceb932ff:0x7fc7373d7c2d55ed!8m2!3d45.76651!4d4.82033!16s%2Fg%2F1tppr9d3!19sChIJ_zK5zgfr9EcR7VUtfD03x38?authuser=0&hl=fr&rclk=1
30,Bulle - Restaurant de Fourvière - Guy Lassausaie,Française,"4,5 (1 590)",7155,+33 4 85 92 00 13,bullerestaurantfourviere.fr,,Lyon,https://www.google.com/maps/place/Bulle+-+Restaurant+de+Fourvi%C3%A8re+-+Guy+Lassausaie/data=!4m7!3m6!1s0x47f4eb7b6a8575f1:0x78af86f45f627f59!8m2!3d45.7618548!4d4.8226127!16s%2Fg%2F11pz19syyj!19sChIJ8XWFanvr9EcRWX9iX_SGr3g?authuser=0&hl=fr&rclk=1
31,Petit Ogre,Restaurant,"4,7 (1 557)",7318,+33 6 42 66 92 63,petitogre.fr,,Lyon,https://www.google.com/maps/place/Petit+Ogre/data=!4m7!3m6!1s0x47f4ea643224de03:0x6a16488e01874f83!8m2!3d45.7559652!4d4.8559759!16s%2Fg%2F12qg80yty!19sChIJA94kMmTq9EcRg0-HAY5IFmo?authuser=0&hl=fr&rclk=1
32,L'Atelier des Augustins,Cuisine gastronomique,"4,8 (1 033)",4958,+33 4 72 00 88 01,latelierdesaugustins.com,,Lyon,https://www.google.com/maps/place/L%27Atelier+des+Augustins/data=!4m7!3m6!1s0x47f4eafe17b59dd5:0x23c41a6051a29d79!8m2!3d45.7677536!4d4.8308335!16s%2Fg%2F1q66zznvw!19sChIJ1Z21F_7q9EcReZ2iUWAaxCM?authuser=0&hl=fr&rclk=1
33,L'Institution,Française,"3,7 (2 510)",9287,+33 4 78 42 52 91,N/A,,Lyon,https://www.google.com/maps/place/L%27Institution/data=!4m7!3m6!1s0x47f4ea5617520d87:0x69686367fb063095!8m2!3d45.7632928!4d4.8355744!16s%2Fg%2F11r8lxfxy!19sChIJhw1SF1bq9EcRlTAG-2djaGk?authuser=0&hl=fr&rclk=1
34,Brasserie Georges,Française,"4,4 (21 435)",94314,+33 4 72 56 54 54,brasseriegeorges.com,,Lyon,https://www.google.com/maps/place/Brasserie+Georges/data=!4m7!3m6!1s0x47f4ea4b3d8af4f7:0x9fd71c9b0d71f8b2!8m2!3d45.7482668!4d4.8283066!16s%2Fm%2F09k6fg7!19sChIJ9_SKPUvq9EcRsvhxDZsc158?authuser=0&hl=fr&rclk=1
35,AntoLio,Restaurant,"4,8 (368)",1766,+33 9 87 57 44 21,antolio.eatbu.com,,Lyon,https://www.google.com/maps/place/AntoLio/data=!4m7!3m6!1s0x47f4eb28d58dca67:0xafbf98b309637435!8m2!3d45.7651578!4d4.8318146!16s%2Fg%2F11j0tb9y2v!19sChIJZ8qN1Sjr9EcRNXRjCbOYv68?authuser=0&hl=fr&rclk=1
36,Monplaisir Côté Cour,Française,"4,6 (5 121)",23557,+33 4 78 75 00 00,N/A,,Lyon,https://www.google.com/maps/place/Monplaisir+C%C3%B4t%C3%A9+Cour/data=!4m7!3m6!1s0x47f4ea748d545b3b:0x631fcaf0ba7fb53f!8m2!3d45.7452778!4d4.8652778!16s%2Fg%2F1td1jbbg!19sChIJO1tUjXTq9EcRP7V_uvDKH2M?authuser=0&hl=fr&rclk=1
37,Flair Restaurant,Française,"4,8 (1 043)",5006,+33 4 72 56 06 31,restaurantflair.com,,Lyon,https://www.google.com/maps/place/Flair+Restaurant/data=!4m7!3m6!1s0x47f4ea4b78867527:0x94091119abff481e!8m2!3d45.749437!4d4.8296803!16s%2Fg%2F113dj8n5r!19sChIJJ3WGeEvq9EcRHkj_qxkRCZQ?authuser=0&hl=fr&rclk=1
38,Restaurant Le Musée,Restaurant,"4,9 (770)",3773,+33 4 78 37 71 54,N/A,,Lyon,https://www.google.com/maps/place/Restaurant+Le+Mus%C3%A9e/data=!4m7!3m6!1s0x47f4eb92b985c0b9:0xa23487eb4f858b1f!8m2!3d45.7645565!4d4.8346783!16s%2Fg%2F11fsk7tqwc!19sChIJucCFuZLr9EcRH4uFT-uHNKI?authuser=0&hl=fr&rclk=1
39,Aromatic Restaurant,Bistro,"4,7 (991)",4658,+33 4 78 23 73 61,aromaticrestaurant.fr,,Lyon,https://www.google.com/maps/place/Aromatic+Restaurant/data=!4m7!3m6!1s0x47f4eae225655555:0xdb7deacb7a52d576!8m2!3d45.7776519!4d4.833918!16s%2Fg%2F11c6yz7zg0!19sChIJVVVlJeLq9EcRdtVSesvqfds?authuser=0&hl=fr&rclk=1
40,Garden Bistro - Restaurant Français Rue Mercière,Restaurant,"4,5 (1 553)",6988,+33 4 72 40 08 19,restaurant-gardenbistro.com,50 Rue Mercière,Lyon,https://www.google.com/maps/place/Garden+Bistro+-+Restaurant+Fran%C3%A7ais+Rue+Merci%C3%A8re/data=!4m7!3m6!1s0x47f4ea55981d8d4d:0xc59cbbe27cd09c05!8m2!3d45.7627752!4d4.8326934!16s%2Fg%2F11btm9q1mq!19sChIJTY0dmFXq9EcRBZzQfOK7nMU?authuser=0&hl=fr&rclk=1
41,L'atelier des saveurs,Française,"4,6 (669)",3077,+33 4 72 37 99 50,latelier-des-saveurs-lyon.fr,,Lyon,https://www.google.com/maps/place/L%27atelier+des+saveurs/data=!4m7!3m6!1s0x47f4eb5ee42350bf:0x9a3e46bc8b53c9d2!8m2!3d45.7672043!4d4.8448727!16s%2Fg%2F11j024nbny!19sChIJv1Aj5F7r9EcR0slTi7xGPpo?authuser=0&hl=fr&rclk=1
42,La Gargotte,Française,"4,5 (560)",2520,+33 6 21 35 60 01,la-gargotte.fr,15 Rue Royale,Lyon,https://www.google.com/maps/place/La+Gargotte/data=!4m7!3m6!1s0x47f4eafb7302c35b:0x1234e0db57051fbe!8m2!3d45.7713889!4d4.8375!16s%2Fg%2F1t_wnpsq!19sChIJW8MCc_vq9EcRvh8FV9vgNBI?authuser=0&hl=fr&rclk=1
43,La Table d'Eugène,Française,"4,3 (530)",2279,+33 4 78 72 50 16,latabledeugene69.com,18 Rue Royale,Lyon,https://www.google.com/maps/place/La+Table+d%27Eug%C3%A8ne/data=!4m7!3m6!1s0x47f4eafb7575a0fb:0x70487737b80d5f66!8m2!3d45.7709769!4d4.8371562!16s%2Fg%2F1v3hzb73!19sChIJ-6B1dfvq9EcRZl8NuDd3SHA?authuser=0&hl=fr&rclk=1
44,Les Bons Vivants,Restaurant,"4,6 (416)",1914,+33 4 78 30 41 92,lesbonsvivants-lyon.fr,,Lyon,https://www.google.com/maps/place/Les+Bons+Vivants/data=!4m7!3m6!1s0x47f4eb84f1cfddf1:0xa9b1d82d5400ad39!8m2!3d45.7653663!4d4.8319885!16s%2Fg%2F11m4305dxx!19sChIJ8d3P8YTr9EcROa0AVC3Ysak?authuser=0&hl=fr&rclk=1
45,La Mère Brazier,Cuisine gastronomique,"4,7 (1 185)",5570,+33 4 78 23 17 20,lamerebrazier.fr,,Lyon,https://www.google.com/maps/place/La+M%C3%A8re+Brazier/data=!4m7!3m6!1s0x47f4eafb72713773:0xe5f398b9fc45a817!8m2!3d45.7714429!4d4.8372134!16s%2Fm%2F0h7lpkr!19sChIJczdxcvvq9EcRF6hF_LmY8-U?authuser=0&hl=fr&rclk=1
46,La Table 101,Française,"4,6 (694)",3192,+33 4 78 60 90 23,latable101.fr,,Lyon,https://www.google.com/maps/place/La+Table+101/data=!4m7!3m6!1s0x47f4ea5fd917e67d:0x1e83cc70b640a19e!8m2!3d45.7617267!4d4.8502112!16s%2Fg%2F11h1py0h3!19sChIJfeYX2V_q9EcRnqFAtnDMgx4?authuser=0&hl=fr&rclk=1
47,Canaima Restaurant,Restaurant de cuisine fusion,"4,9 (575)",2818,+33 9 87 05 87 25,restaurantcanaima.fr,,Lyon,https://www.google.com/maps/place/Canaima+Restaurant/data=!4m7!3m6!1s0x47f4eb58046adf73:0x9ae5dc5a1574a307!8m2!3d45.7698684!4d4.8343093!16s%2Fg%2F11fp8021fh!19sChIJc99qBFjr9EcRB6N0FVrc5Zo?authuser=0&hl=fr&rclk=1
48,Le Bistrot de Lyon,Bistro,"4,1 (2 250)",9225,+33 4 78 38 47 47,bistrotdelyon.com,,Lyon,https://www.google.com/maps/place/Le+Bistrot+de+Lyon/data=!4m7!3m6!1s0x47f4ea55b0d2d5c1:0xe2388346536e87d5!8m2!3d45.7620807!4d4.8327509!16s%2Fg%2F1v75r7jt!19sChIJwdXSsFXq9EcR1YduU0aDOOI?authuser=0&hl=fr&rclk=1
49,LE PASSE TEMPS,Française,"4,7 (526)",2472,+33 4 72 82 90 14,lepassetemps-restaurant.com,,Lyon,https://www.google.com/maps/place/LE+PASSE+TEMPS/data=!4m7!3m6!1s0x47f4eaf3071abbcd:0x97375a61d62d1816!8m2!3d45.7699!4d4.8495222!16s%2Fg%2F1ttp9nc8!19sChIJzbsaB_Pq9EcRFhgt1mFaN5c?authuser=0&hl=fr&rclk=1
50,COURT BOUILLON,Restaurant,"4,8 (489)",2347,+33 4 78 42 49 33,courtbouillon-lyon.fr,,Lyon,https://www.google.com/maps/place/COURT+BOUILLON/data=!4m7!3m6!1s0x47f4eb5733d93abd:0x685236cdec3c390c!8m2!3d45.7589812!4d4.8265457!16s%2Fg%2F11h9gsyzc5!19sChIJvTrZM1fr9EcRDDk87M02Umg?authuser=0&hl=fr&rclk=1
51,PRAIRIAL • Confluence,Gastronomie française,"4,7 (586)",2754,+33 4 87 78 32 51,prairial-restaurant.com,,Lyon,https://www.google.com/maps/place/PRAIRIAL+%E2%80%A2+Confluence/data=!4m7!3m6!1s0x47f4eaff74352b99:0xf8e528b0ccc46ac2!8m2!3d45.7414832!4d4.8229171!16s%2Fg%2F11btwmdmmz!19sChIJmSs1dP_q9EcRwmrEzLAo5fg?authuser=0&hl=fr&rclk=1
52,Burgundy by Matthieu,Cuisine gastronomique,"4,8 (666)",3197,+33 4 72 04 04 51,burgundybym.fr,24 Quai Saint-Antoine,Lyon,https://www.google.com/maps/place/Burgundy+by+Matthieu/data=!4m7!3m6!1s0x47f4ea55a026ec77:0xdf7f81dd2d71d851!8m2!3d45.7627411!4d4.8321301!16s%2Fg%2F11b70kmmmd!19sChIJd-wmoFXq9EcRUdhxLd2Bf98?authuser=0&hl=fr&rclk=1
53,Au 14 Février,Cuisine française moderne,"4,8 (413)",1982,+33 4 78 92 91 39,ly-au14fevrier.com,36 Rue du Bœuf,Lyon,https://www.google.com/maps/place/Au+14+F%C3%A9vrier/data=!4m7!3m6!1s0x47f4ebab81fe93a3:0x5d3532f58738d0a!8m2!3d45.7622468!4d4.8263926!16s%2Fg%2F1tt1gkp_!19sChIJo5P-gavr9EcRCo1zWC9T0wU?authuser=0&hl=fr&rclk=1
54,LES 3 DOMES,Restaurant,"4,6 (1 048)",4821,+33 4 72 41 20 97,restaurantsandbars.accor.com,,Lyon,https://www.google.com/maps/place/LES+3+DOMES/data=!4m7!3m6!1s0x47f4ea4e1fced6d5:0x659ed4644ba8d346!8m2!3d45.754589!4d4.8341436!16s%2Fg%2F1thq4mzj!19sChIJ1dbOH07q9EcRRtOoS2TUnmU?authuser=0&hl=fr&rclk=1
55,Le Poivron Bleu,Française,"4,8 (785)",3768,+33 4 78 24 86 66,lepoivronbleurestaurant.fr,,Lyon,https://www.google.com/maps/place/Le+Poivron+Bleu/data=!4m7!3m6!1s0x47f4ea8c3dfafd7b:0x870bfdd707abfdb5!8m2!3d45.7689421!4d4.8562278!16s%2Fg%2F11b66ff2f5!19sChIJe_36PYzq9EcRtf2rB9f9C4c?authuser=0&hl=fr&rclk=1
56,Lyon Dakar,Restaurant,"4,4 (1 182)",5201,+33 4 78 62 29 54,N/A,,Lyon,https://www.google.com/maps/place/Lyon+Dakar/data=!4m7!3m6!1s0x47f4ea5dc0cd6d2d:0xfa18feb7c3e9642c!8m2!3d45.757466!4d4.848333!16s%2Fg%2F1tj72ynt!19sChIJLW3NwF3q9EcRLGTpw7f-GPo?authuser=0&hl=fr&rclk=1
57,Le Petit Carron,Française,"4,3 (769)",3307,+33 4 78 60 00 57,lepetitcarron-restaurant.com,,Lyon,https://www.google.com/maps/place/Le+Petit+Carron/data=!4m7!3m6!1s0x47f4ea6891670b19:0xe0a6a37f3b726258!8m2!3d45.7526861!4d4.8526385!16s%2Fg%2F1tgxhdkc!19sChIJGQtnkWjq9EcRWGJyO3-jpuA?authuser=0&hl=fr&rclk=1
58,Carré Royal,Restaurant,"4,8 (347)",1666,+33 4 78 28 33 98,carreroyal.eu,,Lyon,https://www.google.com/maps/place/Carr%C3%A9+Royal/data=!4m7!3m6!1s0x47f4eafb745aa285:0x5fdcb71d0340e251!8m2!3d45.7710418!4d4.8370748!16s%2Fg%2F1tc_vys6!19sChIJhaJadPvq9EcRUeJAAx233F8?authuser=0&hl=fr&rclk=1
59,Le Laurencin,Restaurant,"4,0 (3 927)",15708,+33 4 78 37 97 37,N/A,24 Rue Saint-Jean,Lyon,https://www.google.com/maps/place/Le+Laurencin/data=!4m7!3m6!1s0x47f4ebaa95db4679:0x5be8f0448f3e0eae!8m2!3d45.763218!4d4.8278889!16s%2Fg%2F1t_wnpt8!19sChIJeUbblarr9EcRrg4-j0Tw6Fs?authuser=0&hl=fr&rclk=1
60,"La table de Max, boeuf et homard",Restaurant,"4,9 (830)",4067,+33 4 78 72 09 73,table-de-max.fr,,Lyon,"https://www.google.com/maps/place/La+table+de+Max,+boeuf+et+homard/data=!4m7!3m6!1s0x47f4ebf3ef8e6d0f:0xcdf3b6d5013cdd06!8m2!3d45.7504529!4d4.8446677!16s%2Fg%2F11g4c0q3sn!19sChIJD22O7_Pr9EcRBt08AdW2880?authuser=0&hl=fr&rclk=1"
61,Matsuri Lyon Presqu'ile,Sushis,"4,5 (4 049)",18220,+33 4 28 70 77 14,matsuri.fr,7 Rue de la Fromagerie,Lyon,https://www.google.com/maps/place/Matsuri+Lyon+Presqu%27ile/data=!4m7!3m6!1s0x47f4eaff41ac8643:0x2325840b2f94a7be!8m2!3d45.7649638!4d4.8337698!16s%2Fg%2F1tdd95t4!19sChIJQ4asQf_q9EcRvqeULwuEJSM?authuser=0&hl=fr&rclk=1
62,RESTAURANT Takao Takano,Cuisine gastronomique,"4,7 (643)",3022,+33 4 82 31 43 39,takaotakano.com,,Lyon,https://www.google.com/maps/place/RESTAURANT+Takao+Takano/data=!4m7!3m6!1s0x47f4eaf0f4abca11:0xf65945a34c82bebe!8m2!3d45.7704363!4d4.8426541!16s%2Fg%2F1yfdpbpgr!19sChIJEcqr9PDq9EcRvr6CTKNFWfY?authuser=0&hl=fr&rclk=1
63,Chez Chabert,Française,"4,5 (2 408)",10836,+33 4 78 42 99 65,chezchabert.com,,Lyon,https://www.google.com/maps/place/Chez+Chabert/data=!4m7!3m6!1s0x47f4ebaabaa372af:0xe2bf9bde6da9a3eb!8m2!3d45.7634215!4d4.8289251!16s%2Fg%2F1tx14qjb!19sChIJr3Kjuqrr9EcR66Opbd6bv-I?authuser=0&hl=fr&rclk=1
